label,text,text_clean
0,Tell where you reached,tell where you reached
0,Yes..gauti and sehwag out of odi series.,yes..gauti and sehwag out of odi series.
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.
0,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke. girls are situation seekers.
0,Its a part of checking IQ,its a part of checking iq
0,"Sorry my roommates took forever, it ok if I come by now?","sorry my roommates took forever, it ok if i come by now?"
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589"
0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me..."
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!"
0,I plane to give on this month end.,i plane to give on this month end.
0,Wah lucky man... Then can save money... Hee...,wah lucky man... then can save money... hee...
0,Finished class where are you.,finished class where are you.
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something? xx
0,K..k:)where are you?how did you performed?,k..k:)where are you?how did you performed?
0,U can call me now...,u can call me now...
0,I am waiting machan. Call me once you free.,i am waiting machan. call me once you free.
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool. i am a gentleman and will treat you with dignity and respect.
0,I like you peoples very much:) but am very shy pa.,i like you peoples very much:) but am very shy pa.
0,Does not operate after  &lt;#&gt;  or what,does not operate after  &lt;#&gt;  or what
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,its not the same here. still looking for a job. how much do ta's earn there.
0,"Sorry, I'll call later","sorry, i'll call later"
0,K. Did you call me just now ah?,k. did you call me just now ah?
0,Ok i am on the way to home hi hi,ok i am on the way to home hi hi
0,You will be in the place of that man,you will be in the place of that man
0,Yup next stop.,yup next stop.
0,"I call you later, don't have network. If urgnt, sms me.","i call you later, don't have network. if urgnt, sms me."
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.
0,I'm really not up to it still tonight babe,i'm really not up to it still tonight babe
0,"Ela kano.,il download, come wen ur free..","ela kano.,il download, come wen ur free.."
0,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah do! don‘t stand to close tho- you‘ll catch something!
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry.
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16"
0,Watching telugu movie..wat abt u?,watching telugu movie..wat abt u?
0,i see. When we finish we have loads of loans to pay,i see. when we finish we have loads of loans to pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?"""
0,I see a cup of coffee animation,i see a cup of coffee animation
0,Please don't text me anymore. I have nothing else to say.,please don't text me anymore. i have nothing else to say.
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i'm still looking for a car to buy. and have not gone 4the driving test yet.
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston."
0,Umma my life and vava umma love you lot dear,umma my life and vava umma love you lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.
0,"Aight, I'll hit you up when I get some cash","aight, i'll hit you up when i get some cash"
0,How would my ip address test that considering my computer isn't a minecraft server,how would my ip address test that considering my computer isn't a minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...
0,Dont worry. I guess he's busy.,dont worry. i guess he's busy.
0,What is the plural of the noun research?,what is the plural of the noun research?
0,Going for dinner.msg you after.,going for dinner.msg you after.
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.
1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?"
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there."
1,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm...my uncle just informed me that he's paying the school directly. so pls buy food.
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm"
0,here is my new address -apples&pairs&all that malarky,here is my new address -apples&pairs&all that malarky
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app
0,I am going to sao mu today. Will be done only at 12,i am going to sao mu today. will be done only at 12
0,Ü predict wat time ü'll finish buying?,ü predict wat time ü'll finish buying?
0,"Good stuff, will do.","good stuff, will do."
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise."
0,Are you there in room.,are you there in room.
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx
0,K..k:)how much does it cost?,k..k:)how much does it cost?
0,I'm home.,i'm home.
0,"Dear, will call Tmorrow.pls accomodate.","dear, will call tmorrow.pls accomodate."
0,First answer my question.,first answer my question.
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p
0,I only haf msn. It's yijue@hotmail.com,i only haf msn. it's yijue@hotmail.com
0,He is there. You call and meet him,he is there. you call and meet him
0,No no. I will check all rooms befor activities,no no. i will check all rooms befor activities
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again
0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...
0,"K, text me when you're on the way","k, text me when you're on the way"
0,"Sir, Waiting for your mail.","sir, waiting for your mail."
0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8"
0,I know you are. Can you pls open the back?,i know you are. can you pls open the back?
0,Yes see ya not on the dot,yes see ya not on the dot
0,Whats the staff name who is taking class for us?,whats the staff name who is taking class for us?
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end"
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma.will call after check in.our life will begin from qatar so pls pray very hard.
0,K..i deleted my contact that why?,k..i deleted my contact that why?
0,Sindu got job in birla soft ..,sindu got job in birla soft ..
0,The wine is flowing and i'm i have nevering..,the wine is flowing and i'm i have nevering..
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine is better cos no need 2 go down 2 plaza mah.
0,Ok... Ur typical reply...,ok... ur typical reply...
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
0,Aaooooright are you at work?,aaooooright are you at work?
0,I'm leaving my house now...,i'm leaving my house now...
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?"
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery
1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life
0,New car and house for my parents.:)i have only new job in hand:),new car and house for my parents.:)i have only new job in hand:)
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i'm so in love with you. i'm excited each day i spend with you. you make me so happy.
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu","bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu"
0,I place all ur points on e cultures module already.,i place all ur points on e cultures module already.
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?","hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
0,Great escape. I fancy the bridge but needs her lager. See you tomo,great escape. i fancy the bridge but needs her lager. see you tomo
0,Yes :)it completely in out of form:)clark also utter waste.,yes :)it completely in out of form:)clark also utter waste.
0,"Sir, I need AXIS BANK account no and bank address.","sir, i need axis bank account no and bank address."
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...","hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao..."
0,What time you coming down later?,what time you coming down later?
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...","bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m..."
0,"Well, i'm gonna finish my bath now. Have a good...fine night.","well, i'm gonna finish my bath now. have a good...fine night."
0,Let me know when you've got the money so carlos can make the call,let me know when you've got the money so carlos can make the call
0,U still going to the mall?,u still going to the mall?
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth","turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
0,Text her. If she doesnt reply let me know so i can have her log in,text her. if she doesnt reply let me know so i can have her log in
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend
0,Lol no. U can trust me.,lol no. u can trust me.
0,ok. I am a gentleman and will treat you with dignity and respect.,ok. i am a gentleman and will treat you with dignity and respect.
0,"He will, you guys close?","he will, you guys close?"
0,Going on nothing great.bye,going on nothing great.bye
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?
0,"Haha awesome, be there in a minute","haha awesome, be there in a minute"
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!
0,Have you got Xmas radio times. If not i will get it now,have you got xmas radio times. if not i will get it now
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i jus reached home. i go bathe first. but my sis using net tell u when she finishes k...
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,are you unique enough? find out from 30th august. www.areyouunique.co.uk
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|
0,Hi :)finally i completed the course:),hi :)finally i completed the course:)
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool.
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day
0,Gud mrng dear hav a nice day,gud mrng dear hav a nice day
0,Did u got that persons story,did u got that persons story
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?
